,OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSERO,OWNTYPE,MGTRESPONB,STATEROUTE,DeedyrBkPg,SID,RINNUM,SHAPE__Len,geometry,slope,slope_below5,slope_5_10,slope_10_15,slope_above15,slope_category
10,11,SUNRISE RD,,100,100 Blk Sunrise Rd.,HECTOR ST,CHESTNUT ST,2,Two-way,Sidewalks adjacent to the south side of the street only,24.0,24.0,0.0,NO,Local Road,NONE,CITY ST,302.647769635576,Asphalt,,NO,CITYST,CITY-ALL,NO,,5,17.0,124.825576084349,"LINESTRING (-76.51661932082422 42.44370182905627, -76.51687104186776 42.44368945490218, -76.51705120032068 42.44368715813248, -76.5176752959153 42.44365184408438, -76.51773782298149 42.44364656275038)",0.17691685998114373,1,0,0,0,1
11,12,PARKER ST,Parker St (lower lavel),100,100 Blk Parker St.,E SENECA ST,E BUFFALO ST,2,Two-way,Sidewalks adjacent to the west side of the street only,21.0,21.0,66.0,NO,Local Road,NONE,CITY ST,329.781699134886,Asphalt,,NO,CITYST,CITY-ALL,NO,1887 BKPG 131-117,3,18.0,136.507451019013,"LINESTRING (-76.49420835634557 42.44055163321798, -76.49423624988206 42.441456350716365)",0.4799720114871501,1,0,0,0,1
12,13,SCHUYLER PL,,100,100 Blk Schuyler Pl.,E STATE ST,E SENECA ST,2,Two-way,Sidewalks adjacent to both sides of the street,22.0,22.0,66.0,NO,Local Road,NONE,CITY ST,484.166636574775,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,3,19.0,200.408264790298,"LINESTRING (-76.49211119360022 42.43928220905644, -76.49211852849203 42.43949368216308, -76.49212633824308 42.439696237330985, -76.49212742470225 42.439745803858365, -76.4921323555764 42.43985831566766, -76.49213777567503 42.439952820192346, -76.49214095864899 42.43999329812144, -76.49214824433521 42.44007871386378, -76.49215713062719 42.44017768029486, -76.49216781834326 42.440312663496776, -76.49217803902863 42.4406097207514)",16.422727791384748,0,0,0,1,4
13,14,SCHUYLER PL,,200,200 Blk Schuyler Pl.,E SENECA ST,E BUFFALO ST,2,Two-way,Sidewalks adjacent to both sides of the street,25.0,25.0,66.0,NO,Local Road,NONE,CITY ST,329.73457250119,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,3,20.0,136.48802016837,"LINESTRING (-76.49217803902863 42.4406097207514, -76.49220821916019 42.44151426859174)",6.291585891310738,0,1,0,0,2
14,15,HIGHLAND PL,,100,100 Blk Highland Pl.,WILLIAMS ST,WILLIAMS ST,1,One-way,Sidewalks adjacent to both sides of the street and north side partial,16.0,16.0,25.0,NO,Local Road,NONE,CITY ST,562.570847438176,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1)1932, 2)1934, 3)1934 BKPG 1)235-444, 2)235-446, 3)235-447",2,21.0,232.547260099172,"LINESTRING (-76.4877801214485 42.44233732305141, -76.48777956121911 42.442400436735426, -76.48779801216787 42.44244967474132, -76.48780905185356 42.442499077623914, -76.48781199322895 42.44254401460518, -76.48781585501933 42.4425935825605, -76.487833159987 42.442633901300695, -76.48786483681221 42.44266497069304, -76.48790439243574 42.442691415528, -76.48796480327594 42.44270878744233, -76.48801851916602 42.44271243419173, -76.48809191806508 42.44271609637099, -76.48814909971644 42.44272437614601, -76.48819562394111 42.44273727815566, -76.48831034280956 42.44282587031819, -76.48836957529161 42.4428566184969, -76.48841865317976 42.44286489232394, -76.48847074194596 42.44287316772139, -76.48852261872926 42.44286806546505, -76.48859071852542 42.44285371527971, -76.4886400691553 42.44283506147148, -76.48868271739117 42.44280748380474, -76.48871726716654 42.44277544118648, -76.4887418669846 42.44273910225154, -76.48875166695566 42.44268954470132, -76.48873927530573 42.44230690449346)",14.092974203239594,0,0,1,0,3
15,16,WILLIAMS ST,,200,200 Blk Williams St.,HIGHLAND PL WEST END,EDDY ST,2,Two-way,Sidewalks adjacent to both sides of the street,20.0,20.0,33.0,NO,Local Road,NONE,CITY ST,334.546687614301,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,2,22.0,137.977332119753,"LINESTRING (-76.48750039436541 42.4423410346234, -76.4877801214485 42.44233732305141, -76.48797903851668 42.44233028544399, -76.48873893251357 42.442306915014115)",17.01660289459072,0,0,0,1,4
16,17,WILLIAMS ST,,100,100 Blk Williams St.,HIGHLAND PL,STEWART AVE,2,Two-way,Sidewalks adjacent to both sides of the street,22.0,22.0,33.0,NO,Local Road,NONE,CITY ST,302.901934107818,Asphalt,,NO,CITYST,CITY-ALL,NO,Unknown,2,23.0,124.925838373138,"LINESTRING (-76.48873893251357 42.442306915014115, -76.48873927530573 42.44230690449346, -76.48986051532535 42.44227883931789)",20.589512371899644,0,0,0,1,4
18,19,EDGEMOOR LA,,100,100 Blk Edgemoor Lane,STEWART AVE,WEST AVE,1,One-way,Sidewalks adjacent to both sides of the street and north side partial,26.0,26.0,50.0,NO,Local Road,NONE,CITY ST,541.968329327439,Asphalt,,NO,CITYST,CITY-ALL,NO,1923 BKPG 203-240,1,25.0,223.574959421873,"LINESTRING (-76.48756939645945 42.44401516375629, -76.48758961193136 42.44396990311253, -76.48762369978006 42.44393785954446, -76.4876700474175 42.44391474449941, -76.48831267443501 42.4438883530301, -76.4887999041164 42.44387314839347, -76.48950087152097 42.44385503063798)",34.57269761365444,0,0,0,1,4
20,21,Maple Dr -CITY CEMETARY,,,Cemetery Drives,CEMETERY,CEMETERY,0,,No sidewalks adjacent to the street,0.0,0.0,0.0,NO,NA,NONE,CITY OWNED,2916.44221768007,,,NO,CITYFACIL,CITY-ALL,NO,,1,,391.878685714896,"LINESTRING (-76.49065923136722 42.44469786112935, -76.49062067824765 42.44481757609652, -76.49060553256679 42.44488084992578, -76.49059433091197 42.4449394958373, -76.4905531244672 42.44508850145463, -76.49053567614888 42.44514285510825, -76.49052519627001 42.445183493039515, -76.49051980963065 42.445224135993755, -76.49052067615422 42.44526461205476, -76.49052663715543 42.44530509224007, -76.49053908230029 42.44534540661838, -76.49057762257739 42.44543496381492, -76.49059652511875 42.445493291064906, -76.49061195356678 42.4455516155012, -76.49062645698598 42.44560993918664, -76.4906487940684 42.44569519605625, -76.49070075817926 42.44578905125254, -76.49073498466092 42.44582012189534, -76.49078427059432 42.44584657358219, -76.49085161825678 42.44587269680951, -76.4909231422434 42.44589419315906, -76.49102684097403 42.44592446171989, -76.49110855971391 42.445941335057405, -76.4912018581899 42.44595821764417, -76.49127896642959 42.445961709706836, -76.49136487987802 42.44596057857764, -76.4914380650906 42.44595514818707, -76.49152074957644 42.44594509605398, -76.49161595351096 42.445925792568914, -76.49175954902908 42.445910470954665, -76.4918338981252 42.445900411936435, -76.49191031749758 42.44589944387534, -76.49198419669135 42.44589401458979, -76.49231094158193 42.44589427450708, -76.49237184494183 42.445893464872356, -76.49252888459314 42.44586889255178, -76.49258007610541 42.445859157714445, -76.49262381805029 42.44587668592243)",0.3072355676219969,1,0,0,0,1
21,22,DEWITT PL,,200,200 Blk DeWitt Pl.,CASCADILLA PARK RD,CITY CEMETERY,2,Two-way,Sidewalks adjacent to both sides of the street,18.0,18.0,0.0,NO,Local Road,NONE,CITY ST,216.856864598756,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,1,29.0,89.7671866917618,"LINESTRING (-76.49169193630712 42.44320507932765, -76.49171695678727 42.44351552575666, -76.49172533019424 42.44379953526353)",0.052280922720813625,1,0,0,0,1
22,23,DEWITT PL,DEWITT PL EXT-WAS PINE DR,,DeWit Pl.-Cemetery,CASCADILLA PARK RD,STEWART AVE,2,Two-way,No sidewalks adjacent to the street,15.0,15.0,0.0,NO,Local Road,NONE,CITY ST,943.479934407831,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,1,30.0,389.999346526472,"LINESTRING (-76.49172533019424 42.44379953526353, -76.49164356672638 42.44382263442997, -76.49159583124418 42.44384574997152, -76.49128803430777 42.44403879071973, -76.49119764909832 42.44408965487877, -76.49103172814416 42.44417270215861, -76.490787496723 42.44428398400598, -76.49065380164828 42.4443397877784, -76.49057318261455 42.44436338946767, -76.49051526385277 42.444382209121585, -76.49031372481976 42.44443435457032, -76.49026784089688 42.44445747105869, -76.4902286665586 42.44448488017284, -76.49019782067711 42.44451675519082, -76.49017924167566 42.444553099319805, -76.49016990541207 42.44460282840857, -76.49017153127237 42.44475581288288, -76.49016325353553 42.44487294504817, -76.49013594968399 42.44517048580791, -76.4901077550418 42.445445559017564, -76.49007083798855 42.445666771406266, -76.490032356908 42.44569418101144, -76.48998532134638 42.445712837294735)",0.02119170989971379,1,0,0,0,1
23,24,Locust Dr -CITY CEMETARY,,,DeWit Pl.-Cemetery,DeWitt Pl,University Ave,0,Two-way,No sidewalks adjacent to the street,0.0,0.0,0.0,NO,NA,NONE,CITY OWNED,650.627175934227,,,NO,CITYFACIL,CITY-ALL,NO,,1,,444.435261490335,"LINESTRING (-76.49172533019424 42.44379953526353, -76.49192841949029 42.44380090917735, -76.49201478783837 42.443804237073756, -76.49206942442885 42.44381251286439, -76.4921226716637 42.443820787523485, -76.49218540708631 42.44383352885347, -76.49227706827213 42.443859327570706, -76.49241385297121 42.44390711475556, -76.49254435240636 42.4439775355645)",0.11477593543760946,1,0,0,0,1
24,24,Locust Dr -CITY CEMETARY,,,DeWit Pl.-Cemetery,DeWitt Pl,University Ave,0,Two-way,No sidewalks adjacent to the street,0.0,0.0,0.0,NO,NA,NONE,CITY OWNED,650.627175934227,,,NO,CITYFACIL,CITY-ALL,NO,,1,,444.435261490335,"LINESTRING (-76.49254435240636 42.4439775355645, -76.49259595231406 42.44400381725781, -76.49264153261034 42.444030265221066, -76.49268387106943 42.44405671060252, -76.49273452532942 42.44409653999304, -76.492767812555 42.444136698652734, -76.49279577448242 42.444176853096636, -76.49281725267777 42.444217002413886, -76.49294722323322 42.44449460223356, -76.49298117382347 42.444557228158985, -76.49304472536372 42.44464646213873, -76.49309074384585 42.44469074686663, -76.49314741956461 42.444730580810514, -76.49321406750879 42.44476133231019, -76.49328281742982 42.44477836586044, -76.49344856465763 42.44481674128399)",0.005039305849585749,1,0,0,0,1
25,24,Locust Dr -CITY CEMETARY,,,DeWit Pl.-Cemetery,DeWitt Pl,University Ave,0,Two-way,No sidewalks adjacent to the street,0.0,0.0,0.0,NO,NA,NONE,CITY OWNED,650.627175934227,,,NO,CITYFACIL,CITY-ALL,NO,,1,,444.435261490335,"LINESTRING (-76.49254435240636 42.4439775355645, -76.49250099044868 42.44401849154923, -76.49247385216293 42.44405037012026, -76.49245249586284 42.44408671241955, -76.49237119315083 42.44426347085576, -76.49235092891271 42.44434474851795, -76.49233951763287 42.44438984503217, -76.49231124954812 42.444561329273796, -76.4922825062324 42.444741902481766, -76.4922678449952 42.44479162751026, -76.49224322032067 42.44484597572557, -76.49221095979277 42.44489585781511, -76.49215923522333 42.44495515768312, -76.4920748456916 42.44502369373873, -76.49202850532836 42.44504235051589)",0.16887429180097732,1,0,0,0,1
26,25,CORNELL AVE,,100,100 Blk Cornell Ave.,UNIVERSITY AVE,STEWART AVE,2,Two-way,Sidewalks adjacent to the north side of the street only,21.0,21.0,50.0,NO,Local Road,NONE,CITY ST,1132.50589763476,Asphalt,,NO,CITYST,CITY-ALL,NO,"1) 1923, 2) 1845 BKPG 1) 235-442, 2) ?",1,33.0,467.691425901865,"LINESTRING (-76.49015270945019 42.446206053831304, -76.49104541514701 42.44618453338857, -76.49104816247714 42.44618447348017, -76.49144700555775 42.4461757126305, -76.49260768777117 42.44614250705094, -76.49271024879233 42.44615922468443, -76.49271029354611 42.446159379570126, -76.4927206184072 42.44619507712984, -76.49276502903652 42.44623044240761, -76.49279254159033 42.44626167908501, -76.49281632190106 42.446310919559664, -76.49282689664227 42.44636478070813, -76.49286138245562 42.44702167663005, -76.49287281875354 42.447120643997906, -76.492882254445 42.44716112678982, -76.4929120627504 42.44720574268986, -76.49296018060437 42.44724111081003, -76.49301851908932 42.44725384821048, -76.49306968458657 42.447262120784984)",0.49637445809037417,1,0,0,0,1
27,26,N WILLARD WAY,WILLARD WAY,200,200 Blk N Willard Way,WILLARD WAY,END,2,Two-way,Sidewalks adjacent to both sides of the street,19.5,19.5,35.0,NO,Local Road,NONE,CITY ST,652.427746295209,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1916 BKPG Book 186, page 82, 86, 89, 91",1,35.0,270.060081425279,"LINESTRING (-76.49137833085483 42.450350463880135, -76.49142924647732 42.45040400726002, -76.4914604382844 42.450453083767115, -76.49147283893238 42.45052495410288, -76.4914845519699 42.45059236564009, -76.49149649601283 42.45065977646007, -76.49150361547507 42.4507002574847, -76.49151027298649 42.450740739038814, -76.49151692954325 42.45078104773547, -76.49153001892759 42.45085754971368, -76.4915366755079 42.45089785930867, -76.49154746884122 42.45096081095325, -76.49155757333472 42.451019301999054, -76.49156745240947 42.451073162662254, -76.49157732620831 42.45113148246507, -76.49158743075543 42.45118997440685, -76.49159176476088 42.45123491233792, -76.49158379978661 42.45131138394702, -76.49158378006483 42.451311569391365, -76.49156517910585 42.45136129111901, -76.49155747141376 42.451406390464626, -76.49154625620093 42.45147412663682, -76.49154664701219 42.451523692510456, -76.49159300872427 42.451811173856015, -76.49160589249117 42.45186966711314, -76.49165895615636 42.452008458011036, -76.49168575554943 42.45205324194094, -76.49171278743 42.45209785499462)",0.043619094387420496,1,0,0,0,1
28,27,WILLARD LOOP,N WILLARD WAY,200,200 Blk Willard Way,N WILLARD WAY,END,2,Two-way,Sidewalks adjacent to both sides of the street,18.0,18.0,0.0,NO,Local Road,NONE,CITY ST,257.83483742912,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,1,36.0,106.540763263282,"LINESTRING (-76.49158378006483 42.451311569391365, -76.49198703139133 42.451274846241816, -76.4920418989746 42.45128758136489, -76.49207288013706 42.45132327919478, -76.49207513080134 42.451368215447914, -76.49206488185291 42.45140885455977, -76.4920520792886 42.45145412183734, -76.49203904475763 42.451499216972614, -76.4920317993516 42.45154431761753, -76.49204469667156 42.45159372149392, -76.49207821961578 42.45163388048947)",0.2113409792210856,1,0,0,0,1
29,28,WILLARD WAY,,100,100 Blk Willard Way,LAKE ST,STEWART AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,26.3,26.3,66.0,NO,Collector,NONE,CITY ST,464.122363360872,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1916 BKPG Book 187, page 86, 82, 89, 91",1,38.0,191.740008524685,"LINESTRING (-76.49209535106783 42.44969650657208, -76.49200169618821 42.449788758735224, -76.49164224731331 42.450126509803624, -76.49140431400583 42.45033346650299, -76.49137833085483 42.450350463880135, -76.49131631889627 42.45037648837162, -76.49114741737861 42.450407506364336, -76.49092337797867 42.45043653594078, -76.4908203878641 42.45046246229997)",0.44958929925436814,1,0,0,0,1
30,29,WYCKOFF AVE,,500,500 Blk Wyckoff Ave.,HIGHLAND AVE,CITY LINE,2,Two-way,Sidewalks adjacent to the north side of the street only,22.0,22.0,0.0,NO,Local Road,NONE,CITY ST,95.6784176259427,Asphalt,,NO,CITYST,CITY-ALL,NO,,1,39.0,39.4817289946546,"LINESTRING (-76.48604092331627 42.456237619968554, -76.48624444162719 42.45627998376455, -76.48635996686816 42.45631009455565, -76.48637987877555 42.45631422752944)",0.17009990583964674,1,0,0,0,1
35,34,PEARSALL PL,,100,100 Blk Pearsall Pl.,HAWTHORNE PL,HUDSON ST,2,Two-way,Sidewalks adjacent to the north side of the street only,24.0,24.0,50.0,NO,Local Road,NONE,CITY ST,264.082243423638,Asphalt,,NO,CITYST,CITY-ALL,NO,1936 BKPG 242-408,4,48.0,108.91685516175,"LINESTRING (-76.49118847965357 42.431382743815774, -76.49155303318531 42.43144100535405, -76.49162733870551 42.43144912606125, -76.49214116598446 42.431545922429905)",6.141604749017173,0,1,0,0,2
36,35,HILLVIEW PL,,400,400 Blk Hillview Pl.,HUDSON ST,S AURORA ST,2,Two-way,Sidewalks adjacent to the north side of the street only,25.0,25.0,50.0,NO,Collector,NONE,CITY ST,668.83310084254,Asphalt,,NO,CITYST,CITY-ALL,NO,Dewitt? BKPG Unknown,4,49.0,275.815420901374,"LINESTRING (-76.49214662318127 42.43496799514845, -76.49383293815103 42.4349099830353, -76.49450764670937 42.434887697067815, -76.494621791972 42.43488624235312)",23.58155192717821,0,0,0,1,4
37,36,COLUMBIA ST,,200,200 Blk Columbia St.,HUDSON ST,S AURORA ST,1,One-way,Sidewalks adjacent to both sides of the street,21.0,21.0,49.5,NO,Local Road,NONE,CITY ST,639.168321788579,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887? (Dewitt),4,50.0,263.58576681613,"LINESTRING (-76.49231593500022 42.43588431685328, -76.4924432867671 42.435878243680065, -76.49312841960453 42.435860262201956, -76.49457880080821 42.43581886082393, -76.4946816919305 42.435813143446)",18.478329869085957,0,0,0,1,4
38,37,PLEASANT ST,,300,300 Blk Pleasant St.,HUDSON ST,S AURORA ST,1,One-way,Sidewalks adjacent to both sides of the street,21.9,21.9,49.5,NO,Local Road,NONE,CITY ST,669.250639076329,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Possibly Dewitt BKPG Unknown,4,51.0,275.99488054628,"LINESTRING (-76.49226095350689 42.436758612720666, -76.4937194605741 42.43671705762496, -76.49452616618107 42.43669315960982, -76.49473848889261 42.43669040784765)",26.03079487556222,0,0,0,1,4
39,38,PROSPECT ST,,200,200 Blk Prospect St.,HUDSON ST,S AURORA ST,1,One-way,Sidewalks adjacent to both sides of the street,22.3,22.3,49.5,NO,Local Road,NONE,CITY ST,541.895994924337,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Possibly Dewitt BKPG Unknown,4,52.0,223.479939368451,"LINESTRING (-76.49277780629961 42.437679496239234, -76.49332588366687 42.43766329225589, -76.49380727094513 42.43765252087929, -76.4939438879522 42.43764628222106, -76.49404020352527 42.43764961634995, -76.49415342789838 42.43764798942957, -76.49426179784388 42.43764207052567, -76.49464176109109 42.43763721995193, -76.49478140767354 42.43761743321601)",20.291703394184182,0,0,0,1,4
