OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
11,SUNRISE RD, ,100,100 Blk Sunrise Rd.,HECTOR ST,CHESTNUT ST,2,Two-way,Sidewalks adjacent to the south side of the street only,24,24,0,NO,Local Road,NONE,CITY ST,302.647769635576,Asphalt,,NO,CITYST,CITY-ALL,NO,,5,17,124.825576084349
12,PARKER ST,Parker St (lower lavel),100,100 Blk Parker St.,E SENECA ST,E BUFFALO ST,2,Two-way,Sidewalks adjacent to the west side of the street only,21,21,66,NO,Local Road,NONE,CITY ST,329.781699134886,Asphalt,,NO,CITYST,CITY-ALL,NO,1887 BKPG 131-117,3,18,136.507451019013
13,SCHUYLER PL, ,100,100 Blk Schuyler Pl.,E STATE ST,E SENECA ST,2,Two-way,Sidewalks adjacent to both sides of the street,22,22,66,NO,Local Road,NONE,CITY ST,484.166636574775,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,3,19,200.408264790298
14,SCHUYLER PL, ,200,200 Blk Schuyler Pl.,E SENECA ST,E BUFFALO ST,2,Two-way,Sidewalks adjacent to both sides of the street,25,25,66,NO,Local Road,NONE,CITY ST,329.73457250119,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,3,20,136.48802016837
15,HIGHLAND PL, ,100,100 Blk Highland Pl.,WILLIAMS ST,WILLIAMS ST,1,One-way,Sidewalks adjacent to both sides of the street and north side partial,16,16,25,NO,Local Road,NONE,CITY ST,562.570847438176,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1)1932, 2)1934, 3)1934 BKPG 1)235-444, 2)235-446, 3)235-447",2,21,232.547260099172
16,WILLIAMS ST, ,200,200 Blk Williams St.,HIGHLAND PL WEST END,EDDY ST,2,Two-way,Sidewalks adjacent to both sides of the street,20,20,33,NO,Local Road,NONE,CITY ST,334.546687614301,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,2,22,137.977332119753
17,WILLIAMS ST, ,100,100 Blk Williams St.,HIGHLAND PL,STEWART AVE,2,Two-way,Sidewalks adjacent to both sides of the street,22,22,33,NO,Local Road,NONE,CITY ST,302.901934107818,Asphalt,,NO,CITYST,CITY-ALL,NO,Unknown,2,23,124.925838373138
18,CASCADILLA PL, ,100,100 Blk Cascadilla Pl.,WILLIAMS ST,END,2,Two-way,Sidewalks adjacent to the east side of the street only and partial,0,0,0,NO,NA,NONE,CU,303.948341408646,,,NO,CU,NONE,NO,,0,,125.512198228472
19,EDGEMOOR LA, ,100,100 Blk Edgemoor Lane,STEWART AVE,WEST AVE,1,One-way,Sidewalks adjacent to both sides of the street and north side partial,26,26,50,NO,Local Road,NONE,CITY ST,541.968329327439,Asphalt,,NO,CITYST,CITY-ALL,NO,1923 BKPG 203-240,1,25,223.574959421873
20,SOUTH AVE, ,000,<100 Blk South Ave.,CAMPUS RD,END,1,One-way,Sidewalks adjacent to both sides of the street and south side partial,22,22,50,NO,NA,NONE,CU,437.02342915878,,,NO,CU,NONE,NO,,0,,287.817553960147
21,Maple Dr -CITY CEMETARY, ,,Cemetery Drives,CEMETERY,CEMETERY,0,,No sidewalks adjacent to the street,0,0,0,NO,NA,NONE,CITY OWNED,2916.44221768007,,,NO,CITYFACIL,CITY-ALL,NO,,1,,391.878685714896
22,DEWITT PL, ,200,200 Blk DeWitt Pl.,CASCADILLA PARK RD,CITY CEMETERY,2,Two-way,Sidewalks adjacent to both sides of the street,18,18,0,NO,Local Road,NONE,CITY ST,216.856864598756,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,1,29,89.7671866917618
23,DEWITT PL,DEWITT PL EXT-WAS PINE DR, ,DeWit Pl.-Cemetery,CASCADILLA PARK RD,STEWART AVE,2,Two-way,No sidewalks adjacent to the street,15,15,0,NO,Local Road,NONE,CITY ST,943.479934407831,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,1,30,389.999346526472
24,Locust Dr -CITY CEMETARY, , ,DeWit Pl.-Cemetery,DeWitt Pl,University Ave,0,Two-way,No sidewalks adjacent to the street,0,0,0,NO,NA,NONE,CITY OWNED,650.627175934227,,,NO,CITYFACIL,CITY-ALL,NO,,1,,444.435261490335
25,CORNELL AVE, ,100,100 Blk Cornell Ave.,UNIVERSITY AVE,STEWART AVE,2,Two-way,Sidewalks adjacent to the north side of the street only,21,21,50,NO,Local Road,NONE,CITY ST,1132.50589763476,Asphalt,,NO,CITYST,CITY-ALL,NO,"1) 1923, 2) 1845 BKPG 1) 235-442, 2) ?",1,33,467.691425901865
26,N WILLARD WAY,WILLARD WAY,200,200 Blk N Willard Way,WILLARD WAY,END,2,Two-way,Sidewalks adjacent to both sides of the street,19.5,19.5,35,NO,Local Road,NONE,CITY ST,652.427746295209,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1916 BKPG Book 186, page 82, 86, 89, 91",1,35,270.060081425279
27,WILLARD LOOP,N WILLARD WAY,200,200 Blk Willard Way,N WILLARD WAY,END,2,Two-way,Sidewalks adjacent to both sides of the street,18,18,0,NO,Local Road,NONE,CITY ST,257.83483742912,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,1,36,106.540763263282
28,WILLARD WAY, ,100,100 Blk Willard Way,LAKE ST,STEWART AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,26.3,26.3,66,NO,Collector,NONE,CITY ST,464.122363360872,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1916 BKPG Book 187, page 86, 82, 89, 91",1,38,191.740008524685
29,WYCKOFF AVE, ,500,500 Blk Wyckoff Ave.,HIGHLAND AVE,CITY LINE,2,Two-way,Sidewalks adjacent to the north side of the street only,22,22,0,NO,Local Road,NONE,CITY ST,95.6784176259427,Asphalt,,NO,CITYST,CITY-ALL,NO,,1,39,39.4817289946546
30,SCIENCES DR,BAILEY CIRCLE,100,100 Blk Sciences Dr,RESERVOIR AVE,GARDEN  AVE,0,Two-way,Sidewalks adjacent to both sides of the street and partial,0,0,0,NO,NA,NONE,CU,398.098603241298,,,NO,CU,NONE,NO,,0,,240.062099448044
31,RESERVOIR AVE, ,000,<100 Blk Reservoir Ave.,GARDEN AVE,SCIENCES DR,0,One-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,258.565496483286,,,NO,CU,NONE,NO,,0,,107.935571229066
32,GARDEN AVE, ,200,200 Blk Garden Ave.,RESERVOIR AVE,TOWER RD,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,33.9048912700108,,,NO,CU,NONE,NO,,0,,294.584888571054
33,RESERVOIR AVE, ,100,100 Blk Reservoir Ave.,GARDEN AVE,END,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,570.334239342666,,,NO,CU,NONE,NO,,0,,206.591007191193
34,PEARSALL PL, ,100,100 Blk Pearsall Pl.,HAWTHORNE PL,HUDSON ST,2,Two-way,Sidewalks adjacent to the north side of the street only,24,24,50,NO,Local Road,NONE,CITY ST,264.082243423638,Asphalt,,NO,CITYST,CITY-ALL,NO,1936 BKPG 242-408,4,48,108.91685516175
35,HILLVIEW PL, ,400,400 Blk Hillview Pl.,HUDSON ST,S AURORA ST,2,Two-way,Sidewalks adjacent to the north side of the street only,25,25,50,NO,Collector,NONE,CITY ST,668.83310084254,Asphalt,,NO,CITYST,CITY-ALL,NO,Dewitt? BKPG Unknown,4,49,275.815420901374
36,COLUMBIA ST, ,200,200 Blk Columbia St.,HUDSON ST,S AURORA ST,1,One-way,Sidewalks adjacent to both sides of the street,21,21,49.5,NO,Local Road,NONE,CITY ST,639.168321788579,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887? (Dewitt),4,50,263.58576681613
37,PLEASANT ST, ,300,300 Blk Pleasant St.,HUDSON ST,S AURORA ST,1,One-way,Sidewalks adjacent to both sides of the street,21.9,21.9,49.5,NO,Local Road,NONE,CITY ST,669.250639076329,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Possibly Dewitt BKPG Unknown,4,51,275.99488054628
38,PROSPECT ST, ,200,200 Blk Prospect St.,HUDSON ST,S AURORA ST,1,One-way,Sidewalks adjacent to both sides of the street,22.3,22.3,49.5,NO,Local Road,NONE,CITY ST,541.895994924337,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Possibly Dewitt BKPG Unknown,4,52,223.479939368451
39,HUDSON ST, ,700,700 Blk Hudson St.,CITY LINE,HUDSON PL,2,Two-way,Sidewalks adjacent to the north side of the street only and partial,29,29,55,NO,Collector,NONE,CITY ST,592.946991628511,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,"Dec. 1962, City R/W by annexation",4,53,245.103224209865
40,S FULTON ST,NYS RTE 79E/NYS RTE13/34/96S,100,100 Blk S Fulton St.,W GREEN ST,W STATE ST,3,One-way,Sidewalks adjacent to both sides of the street,28.9,28.9,50,YES,Principal Arterial, ,NYS DOT,349.097029628777,Asphalt,"Curbed, Granite",FIRE,DOT,NYSMillPveCityReprs,YES,1888 BKPG 132-382,5,54,144.43508217528
41,N CAYUGA ST, ,100,100 Blk N Cayuga St.,E STATE ST,E SENECA ST,2,One-way,Sidewalks adjacent to both sides of the street,38,38,66,NO,Minor Arterial,NONE,CITY ST,316.716516193118,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,3,56,131.097037403051
42,S CAYUGA ST, ,100,100 Blk S Cayuga St.,E GREEN ST,E STATE ST,2,One-way,Sidewalks adjacent to both sides of the street,38,38,66,NO,Minor Arterial,NONE,CITY ST,328.21970296515,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 BKPG 131-117,3,57,135.856431591068
43,S AURORA ST, ,100,100 Blk S Aurora St.,E STATE ST,BRIDGE,2,Two-way,Sidewalks adjacent to both sides of the street,46.2,46.2,66,NO,Minor Arterial,NONE,CITY ST,261.123124086748,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,3,58,108.035122932701
44,UNIVERSITY AVE, ,100,100 Blk University Ave.,BRIDGE,CEMETERY ENTRANCE,2,Two-way,Sidewalks adjacent to the west side of the street only,30.4,30.4,66,NO,Minor Arterial,NONE,CITY ST,663.547676794802,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,1,60,274.349208066891
45,UNIVERSITY AVE, ,200-300,200-300 Blk University Ave.,CITY CEMETERY ENTRANCE,CORNELL AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,30.4,30.4,66,NO,Minor Arterial,NONE,CITY ST,898.797664295215,Asphalt,,FIRE,CITYST,CITY-ALL,NO,Unknown,1,62,372.04996905553
46,MAPLE AVE, ,100,100 Blk Maple Ave.,CITY LINE,DRYDEN RD,2,Two-way,Sidewalks adjacent to both sides of the street,28.6,28.6,49.5,NO,Collector,NONE,CITY ST,832.416534595507,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1907 BKPG 166-192,2,63,343.313701264537
47,OAK AVE, ,300,300 Blk Oak Ave.,ONEIDA PL,ELMWOOD AVE,2,Two-way,No sidewalks adjacent to the street,26,26,0,NO,Local Road,NONE,CITY ST,403.202423529995,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1929 BKPG Various,2,64,166.376338123696
48,KITE HILL PARKING LOT, ,100,100 Blk Kite Hill Dr.,CAMPUS RD,END,2,,No Information/Unknown,0,0,0,NO,NA,NONE,CU,991.717986667832,,,NO,CU,NONE,NO,,0,,409.743898198562
49,CAMPUS RD, ,500,500 Blk Campus Rd.,TOWN OF ITHACA LINE,,2,,No Information/Unknown,0,0,0,NO,NA,NONE,CU,91.2047442800194,,,NO,CU,NONE,NO,,0,,37.6242418486553
50,CAMPUS RD, ,500,500 Blk Campus Rd.,KITE HILL PARKING LOT,GARDEN AVE,2,Two-way,Sidewalks adjacent to both sides of the street and south side partial,0,0,0,NO,NA,NONE,CU,1290.4962396892,,,FIRE,CU,NONE,NO,,0,,532.348155277529
51,CAMPUS RD, ,300,300 Blk Campus Rd.,COLLEGE AVE,HOY RD,2,Two-way,Sidewalks adjacent to both sides of the street and south side partial,0,0,0,NO,NA,NONE,CU,279.140437645845,,,FIRE,CU,NONE,NO,,0,,388.152084764181
52,CAMPUS RD, ,400,400 Blk Campus Rd.,GARDEN AVE,STATLER DR,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,483.639746935394,,,FIRE,CU,NONE,NO,,0,,199.476745370128
53,TOWER RD, ,300,300 Blk Tower Rd.,TOWN OF ITHACA LINE,,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,311.679223955917,,,NO,CU,NONE,NO,,0,,128.556154872265
54,AG SCHOOL DRIVEWAY, ,,AG School Dr.,TOWER RD,,2,,Sidewalks adjacent to the west side of the street and partial,0,0,0,NO,NA,NONE,CU,216.62540110075,,,NO,CU,NONE,NO,,0,,89.6782324380579
55,TOWER RD, ,200,200 Blk Tower Rd.,AG SCHOOL,GARDEN AVE,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,990.844696881898,,,NO,CU,NONE,NO,,0,,408.686816163274
56,PRESIDENTS DR, ,,Presidents Drive,EAST AVE,EAST AVE,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,645.444474281975,,,NO,CU,NONE,NO,,0,,286.49168883378
57,TOWER RD, ,100,100 Blk Tower Rd.,GARDEN AVE,EAST AVE,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,806.925241700045,,,NO,CU,NONE,NO,,0,,332.827004190382
58,FEENEY WAY,EAST AVE,200,200 Blk Feeney Way.,TOWER RD,FOREST HOME DR,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,1472.8694996,,,NO,CU,NONE,NO,,0,,609.479945002677
59,FEENEY WAY,EAST AVE,100,100 Blk Feeney Way.,CAMPUS RD,TOWER RD,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,875.222219401536,,,NO,CU,NONE,NO,,0,,362.311704089061
60,CENTRAL AVE, ,100,100 Blk Central Ave.,UNIVERSITY AVE,,0,Two-way,Sidewalks adjacent to both sides of the street and east side partial,0,0,0,NO,NA,NONE,CU,1232.47595652216,,,NO,CU,NONE,NO,,0,,510.18841508468
61,HO PLZ,WAS CENTRAL AVE ,100,100 Blk Central Ave., ,,0,,No Information/Unknown,0,0,0,NO,NA,NONE,CU,403.237362903562,,,NO,CU,NONE,NO,,0,,166.61323851761
62,MARY ANN WOOD DR, ,100,100 Blk Mary Ann Wood Dr.,CAMPUS RD,END,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,358.86326970417,,,NO,CU,NONE,NO,,0,,307.822618133438
63,CAMPUS RD, ,000,<100 Blk Campus Rd.,WEST AVE,STEWART AVE,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,172.13211157573,,,FIRE,CU,NONE,NO,,0,,303.664217311709
64,FOREST HOME DR, ,000,<100 Blk Forest Home Dr.,TOWN OF ITHACA LINE,THURSTON AVE,2,Two-way,No Information/Unknown,22,22,0,NO,Collector,NONE,CITY ST,2143.77104173782,Asphalt,"Curbed, Granite",NO,CITYST,CITY-ALL,NO,,0,90,884.861974629669
65,HEIGHTS CT, ,100,100 Blk Heights Court,WYCKOFF AVE,HIGHLAND AVE,2,Two-way,Sidewalks adjacent to both sides of the street,24,24,40,NO,Local Road,NONE,CITY ST,542.877460568251,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1925 BKPG Unknown,1,91,223.952370025434
66,RIDGEWOOD RD, ,000,<100 Blk Ridgewood Rd.,THURSTON AVE,CITY LINE,2,Two-way,Sidewalks adjacent to the east side of the street only,22,22,40,NO,Local Road,NONE,CITY ST,883.3676858669,Asphalt,,NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,92,365.385455976574
67,WYCKOFF AVE, ,200,200 Blk Wyckoff Ave.,THURSTON AVE,WAIT AVE,2,Two-way,Sidewalks adjacent to both sides of the street,26.3,26.3,50,NO,Local Road,NONE,CITY ST,341.635294707354,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,93,141.435587099
68,WYCKOFF AVE, ,300,300 Blk Wyckoff Ave.,WAIT AVE,HEIGHTS CT,2,Two-way,Sidewalks adjacent to both sides of the street,26.3,26.3,50,NO,Local Road,NONE,CITY ST,191.245009262738,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,94,79.1779440511711
69,NEEDHAM PL, ,100,100 Blk Needham Pl.,STEWART AVE,KLINE RD,2,Two-way,No sidewalks adjacent to the street,15.8,15.8,50,NO,Local Road,NONE,CITY ST,446.995005584027,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1903 BKPG 159-200,1,95,184.608444036055
70,LAKE ST, ,400,400 Blk Lake St.,FALL CREEK,KLINE RD NORTH INT,2,Two-way,Sidewalks adjacent to the west side of the street only,30,30,66,NO,Minor Arterial,NONE,CITY ST,638.255480379682,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,"1899 (part of R/W), rest is unknown BKPG 151-62",1,97,264.020158280964
71,LAKE ST, ,500,500 Blk Lake St.,KLINE RD,CITY LINE,2,Two-way,Sidewalks adjacent to the west side of the street only,30,30,66,NO,Minor Arterial,NONE,CITY ST,516.422982181375,Asphalt,,FIRE,CITYST,CITY-ALL,NO,"1899 (part of R/W), rest is unknown BKPG 151-62",1,98,213.550561481367
72,E YORK ST, ,100,100 Blk E York St.,N TIOGA ST,N CAYUGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,0,NO,Local Road,NONE,CITY ST,524.139947115049,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,1,99,216.210115500372
73,W YORK ST, ,100,100 Blk W York St.,N CAYUGA ST,END,2,Two-way,Sidewalks adjacent to both sides of the street,31,31,66,NO,Local Road,NONE,CITY ST,430.892882334128,Asphalt,,NO,CITYST,CITY-ALL,NO,Unknown,1,100,177.745214213705
74,E FALLS ST, ,100,100 Blk E Falls St.,N TIOGA ST,N CAYUGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,30.2,30.2,66,NO,Local Road,NONE,CITY ST,526.607477525479,Asphalt,"Curbed, Granite",NO,CITYST,CITY-ALL,NO,1924 BKPG 206-20,1,101,217.226021027927
75,W FALLS ST, ,100,100 Blk W Falls St.,N CAYUGA ST,END,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Local Road,NONE,CITY ST,615.04151258846,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1933 BKPG 232-116,1,102,253.713939211994
76,E LINCOLN ST, ,200,200 Blk E Lincoln St.,N TIOGA ST,UTICA ST,2,Two-way,Sidewalks adjacent to both sides of the street,34,34,66,NO,Minor Arterial,NONE,CITY ST,299.200973432089,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,"1887 (Dewitt) - part, other part unknown BKPG 131-117",1,103,123.419022819798
77,E LINCOLN ST, ,400,400 Blk E Lincoln St.,LAKE ST,N AURORA ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,0,NO,Minor Arterial,NONE,CITY ST,467.450709655742,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,1,105,192.821645664591
78,E JAY ST, ,100,100 Blk E Jay St.,UTICA ST,N CAYUGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,32.2,32.2,66,NO,Local Road,NONE,CITY ST,295.702330247329,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,106,121.973291074955
79,QUEEN ST, ,100,100 Blk Queen St.,N AURORA ST,N TIOGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,66,NO,Local Road,NONE,CITY ST,325.433593736957,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,1,107,134.238781201083
80,KING ST, ,200,200 Blk King St.,LINN ST,N AURORA ST,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,0,NO,Local Road,NONE,CITY ST,336.235882625619,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,1,108,138.691595868198
81,E LEWIS ST, ,100,100 Blk E Lewis St.,UTICA ST,N CAYUGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,32,32,66,NO,Local Road,NONE,CITY ST,295.85484243533,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,109,122.033545806794
82,E TOMPKINS ST, ,100,100 Blk E Tompkins St.,UTICA ST,N CAYUGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Collector,NONE,CITY ST,298.140395657478,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,110,122.974205481447
83,E TOMPKINS ST, ,200,200 Blk Tompkins St.,N TIOGA ST,UTICA ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Collector,NONE,CITY ST,291.698782478815,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,111,120.317387981704
84,E TOMPKINS ST, ,300,300 Blk E Tompkins St.,N AURORA ST,N TIOGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Collector,NONE,CITY ST,323.844832094215,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,112,133.576589368333
85,E TOMPKINS ST, ,400,400 Blk E Tompkins St.,LINN ST,N AURORA ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Local Road,NONE,CITY ST,330.90306971874,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,113,136.487987303975
86,E YATES ST, ,100,100 Blk E Yates St.,UTICA ST,N CAYUGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,66,NO,Local Road,NONE,CITY ST,300.612346208235,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,114,123.991553405742
87,E YATES ST, ,200,200 Blk E Yates St.,N TIOGA ST,UTICA ST,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,66,NO,Local Road,NONE,CITY ST,289.016992051543,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,115,119.208961189469
88,E YATES ST, ,300,300 Blk E Yates St.,N AURORA ST,N TIOGA ST,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,66,NO,Local Road,NONE,CITY ST,322.062042548744,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,116,132.838827117924
89,E YATES ST, ,400,400 Blk E Yates St.,LINN ST,N AURORA ST,2,Two-way,Sidewalks adjacent to both sides of the street,27.6,27.6,66,NO,Local Road,NONE,CITY ST,331.331888010017,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,117,136.662595944015
90,E MARSHALL ST, ,400,400 Blk E Marshall St.,LINN ST,N AURORA ST,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,66,NO,Local Road,NONE,CITY ST,331.622516823298,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,1,118,136.780157036758
